CODPTORE,SEXO,gredad,6 Mar.2020 - 5 Mar. 2021,6 Mar.2021 - 5 Mar. 2022,Tipo
Amazonas,Hombres,Menores de 15 años,-0.41653020301007443,-0.34624377975998816,Incremento
Amazonas,Hombres,De 15 a 44 años,0.39857565144001145,0.8472493702835557,Incremento
Amazonas,Hombres,De 45 a 64 años,2.109731567504889,0.9489000462600033,Disminución
Amazonas,Hombres,De 65 y más años,0.912501305840639,0.5129122082487181,Disminución
Amazonas,Mujeres,Menores de 15 años,-0.08426444538775167,-0.14376045833961906,Disminución
Amazonas,Mujeres,De 15 a 44 años,0.605113364240444,-0.1172253082222693,Disminución
Amazonas,Mujeres,De 45 a 64 años,2.2234133127154223,1.1895156881886955,Disminución
Amazonas,Mujeres,De 65 y más años,1.9677472680762917,0.08522417348268412,Disminución
Antioquia,Hombres,Menores de 15 años,-0.2190354661317296,-0.05689117895079489,Incremento
Antioquia,Hombres,De 15 a 44 años,0.4141910212617479,0.8046741067936412,Incremento
Antioquia,Hombres,De 45 a 64 años,0.3977463956987612,0.844558957333683,Incremento
Antioquia,Hombres,De 65 y más años,0.22729645747064228,0.34367626243000293,Incremento
Antioquia,Mujeres,Menores de 15 años,0.0011890887661880369,0.32050316596107825,Incremento
Antioquia,Mujeres,De 15 a 44 años,-0.24634122217564838,-0.024499395370542364,Incremento
Antioquia,Mujeres,De 45 a 64 años,0.10195813147361582,0.4754969998213547,Incremento
Antioquia,Mujeres,De 65 y más años,0.08049289978420779,0.25653314529084587,Incremento
Arauca,Hombres,Menores de 15 años,-0.5633377502957636,-0.5278933866533339,Incremento
Arauca,Hombres,De 15 a 44 años,0.26709570997767534,1.186010490365554,Incremento
Arauca,Hombres,De 45 a 64 años,0.09518845734116142,0.5510053241049113,Incremento
Arauca,Hombres,De 65 y más años,-0.007953054131068716,-0.0033789170269841605,Incremento
Arauca,Mujeres,Menores de 15 años,-0.20060137619021898,-0.49695428083446425,Disminución
Arauca,Mujeres,De 15 a 44 años,-0.18436040635589057,-0.07151459390662247,Incremento
Arauca,Mujeres,De 45 a 64 años,0.14597306524506642,0.5526829103545311,Incremento
Arauca,Mujeres,De 65 y más años,0.14170229846855492,0.2178181375405456,Incremento
Archipiélago de San Andrés,Hombres,Menores de 15 años,-0.4852671030743887,0.07698111696880704,Incremento
Archipiélago de San Andrés,Hombres,De 15 a 44 años,1.8371984793948688,1.913129245464423,Incremento
Archipiélago de San Andrés,Hombres,De 45 a 64 años,0.3407806923781287,0.38032627922539936,Incremento
Archipiélago de San Andrés,Hombres,De 65 y más años,0.2981443029047415,0.40667538935375225,Incremento
Archipiélago de San Andrés,Mujeres,Menores de 15 años,1.1874835930100935,-0.3523054443442236,Disminución
Archipiélago de San Andrés,Mujeres,De 15 a 44 años,-0.060335218924588395,0.06497938642074431,Incremento
Archipiélago de San Andrés,Mujeres,De 45 a 64 años,-0.41535262708743115,0.43757896355966214,Incremento
Archipiélago de San Andrés,Mujeres,De 65 y más años,-0.16735585466518538,0.3706009812660182,Incremento
Atlántico,Hombres,Menores de 15 años,0.26223651628455147,0.14159774610108689,Disminución
Atlántico,Hombres,De 15 a 44 años,0.18257824652788865,0.40942528771968856,Incremento
Atlántico,Hombres,De 45 a 64 años,0.6564468754357726,0.9432821379293319,Incremento
Atlántico,Hombres,De 65 y más años,0.38777265990970533,0.44504494903668307,Incremento
Atlántico,Mujeres,Menores de 15 años,0.645539705194774,0.8850372267566806,Incremento
Atlántico,Mujeres,De 15 a 44 años,-0.1177017282280338,0.03242728468367018,Incremento
Atlántico,Mujeres,De 45 a 64 años,0.45936449770528537,0.8848030113700873,Incremento
Atlántico,Mujeres,De 65 y más años,0.30905443723084136,0.4522632981514763,Incremento
"Bogotá, D.C.",Hombres,Menores de 15 años,0.07276584780569328,0.2060062816422232,Incremento
"Bogotá, D.C.",Hombres,De 15 a 44 años,-0.08565759639201437,0.12093843897628495,Incremento
"Bogotá, D.C.",Hombres,De 45 a 64 años,0.7162536458190325,0.9223691575502724,Incremento
"Bogotá, D.C.",Hombres,De 65 y más años,0.5918095773462718,0.5054404331299241,Disminución
"Bogotá, D.C.",Mujeres,Menores de 15 años,0.6482293657090247,0.7478481380027695,Incremento
"Bogotá, D.C.",Mujeres,De 15 a 44 años,-0.29228143508965565,-0.18969110895109814,Incremento
"Bogotá, D.C.",Mujeres,De 45 a 64 años,0.19574900689242758,0.47817814431643046,Incremento
"Bogotá, D.C.",Mujeres,De 65 y más años,0.21151435318670253,0.21930267708577997,Incremento
Bolívar,Hombres,Menores de 15 años,-0.1700767289764019,0.021959212402867297,Incremento
Bolívar,Hombres,De 15 a 44 años,0.2748910087879982,0.42283845685642585,Incremento
Bolívar,Hombres,De 45 a 64 años,0.6262804722541608,0.6775794385585603,Incremento
Bolívar,Hombres,De 65 y más años,0.3373054815925988,0.2322371151790102,Disminución
Bolívar,Mujeres,Menores de 15 años,0.2440509109034396,0.5525697077019326,Incremento
Bolívar,Mujeres,De 15 a 44 años,-0.11654337910420229,-0.03285905897415743,Incremento
Bolívar,Mujeres,De 45 a 64 años,0.7181895559012131,0.81045306460803,Incremento
Bolívar,Mujeres,De 65 y más años,0.5671609757813552,0.5356961548509993,Disminución
Boyacá,Hombres,Menores de 15 años,-0.2330205884144251,-0.20837478543197682,Incremento
Boyacá,Hombres,De 15 a 44 años,0.49248382209291375,0.9586206354538757,Incremento
Boyacá,Hombres,De 45 a 64 años,0.6655911765507051,1.036906035193597,Incremento
Boyacá,Hombres,De 65 y más años,0.12371788319240185,0.18722177648034022,Incremento
Boyacá,Mujeres,Menores de 15 años,0.05748049411931631,0.22945912155767015,Incremento
Boyacá,Mujeres,De 15 a 44 años,-0.16186564537036935,0.27112921045815264,Incremento
Boyacá,Mujeres,De 45 a 64 años,0.30436268975964237,0.7316306799167279,Incremento
Boyacá,Mujeres,De 65 y más años,0.204721955852878,0.2584051149249686,Incremento
Caldas,Hombres,Menores de 15 años,-0.04250930274757858,0.4275678333807632,Incremento
Caldas,Hombres,De 15 a 44 años,0.6280764656946775,1.2263111200139842,Incremento
Caldas,Hombres,De 45 a 64 años,0.5262953864160602,1.0009536597648365,Incremento
Caldas,Hombres,De 65 y más años,0.1494464466771951,0.2261746052775584,Incremento
Caldas,Mujeres,Menores de 15 años,0.238376945269294,0.5302244769253295,Incremento
Caldas,Mujeres,De 15 a 44 años,-0.1843688913812496,0.3008082047907616,Incremento
Caldas,Mujeres,De 45 a 64 años,0.22458703526071674,0.5875002525244806,Incremento
Caldas,Mujeres,De 65 y más años,0.048501901774568534,0.19555734674232658,Incremento
Caquetá,Hombres,Menores de 15 años,-0.4219628885959167,-0.4081407728735567,Incremento
Caquetá,Hombres,De 15 a 44 años,0.2921282276316061,0.42545559600200256,Incremento
Caquetá,Hombres,De 45 a 64 años,1.0727619067138374,0.8970016429800975,Disminución
Caquetá,Hombres,De 65 y más años,0.5696357699193674,0.5250480012923796,Disminución
Caquetá,Mujeres,Menores de 15 años,-0.584546179019484,-0.6057198199300038,Disminución
Caquetá,Mujeres,De 15 a 44 años,-0.25246706388402296,-0.09535358170623152,Incremento
